id,name,country,role,stats_total_runs
ind_jm_sharma,JM Sharma,India,WK-Bat,131
ind_am_nayar,AM Nayar,India,Batsman,0
ind_shahbaz_ahmed,Shahbaz Ahmed,India,Batsman,0
ind_s_kaul,S Kaul,India,Fast Bowler,1
ind_rr_powar,RR Powar,India,Fast Bowler,169
ind_harshit_rana,Harshit Rana,India,Fast Bowler,188
ind_sn_khan,SN Khan,India,Batsman,371
ind_mukesh_kumar,Mukesh Kumar,India,Fast Bowler,15
ind_dhruv_jurel,Dhruv Jurel,India,WK-Bat,471
ind_navdeep_saini,Navdeep Saini,India,Fast Bowler,127
ind_p_negi,P Negi,India,Fast Bowler,0
ind_b_sai_sudharsan,B Sai Sudharsan,India,Batsman,429
ind_r_sharma,R Sharma,India,Fast Bowler,1
ind_tu_deshpande,TU Deshpande,India,Fast Bowler,0
ind_rm_patidar,RM Patidar,India,Batsman,85
ind_nithish_kumar_reddy,Nithish Kumar Reddy,India,Batsman,586
ind_ms_gony,MS Gony,India,Fast Bowler,0
ind_umran_malik,Umran Malik,India,Fast Bowler,7
ind_gurkeerat_singh,Gurkeerat Singh,India,Batsman,13
ind_r_dhawan,R Dhawan,India,Fast Bowler,13
ind_gh_vihari,GH Vihari,India,Batsman,839
ind_s_aravind,S Aravind,India,Fast Bowler,0
ind_m_markande,M Markande,India,Fast Bowler,0
ind_shivam_mavi,Shivam Mavi,India,Fast Bowler,28
ind_k_gowtham,K Gowtham,India,Batsman,2
ind_p_awana,P Awana,India,Fast Bowler,0
ind_w_jaffer,W Jaffer,India,Batsman,1672
ind_bb_sran,BB Sran,India,Batsman,0
ind_ramandeep_singh,Ramandeep Singh,India,Batsman,15
ind_j_yadav,J Yadav,India,Batsman,251
ind_r_sai_kishore,R Sai Kishore,India,Fast Bowler,0
ind_vrv_singh,VRV Singh,India,Batsman,55
ind_a_mithun,A Mithun,India,Batsman,171
ind_d_mongia,D Mongia,India,Batsman,363
ind_akash_deep,Akash Deep,India,Fast Bowler,163
ind_c_sakariya,C Sakariya,India,Batsman,5
ind_joginder_sharma,Joginder Sharma,India,Batsman,5
ind_pankaj_singh,Pankaj Singh,India,Batsman,13
ind_s_tyagi,S Tyagi,India,Batsman,1
ind_ks_bharat,KS Bharat,India,Batsman,221
ind_j_srinath,J Srinath,India,Fast Bowler,33
ind_sb_bangar,SB Bangar,India,Batsman,8
ind_fy_fazal,FY Fazal,India,Batsman,55
ind_kr_sen,KR Sen,India,Batsman,2
ind_parvez_rasool,Parvez Rasool,India,Batsman,5
ind_a_kamboj,A Kamboj,India,Batsman,0
ind_rs_gavaskar,RS Gavaskar,India,Batsman,93
ind_s_sandeep_warrier,S Sandeep Warrier,India,Batsman,0
ind_a_mukund,A Mukund,India,Batsman,320
ind_jai_prakash_yadav,Jai Prakash Yadav,India,Batsman,12
ind_hk_badani,HK Badani,India,Batsman,135
